strain, force
0.000000000000000000e+00, 0.000000000000000000e+00
3.571428571428571751e-03, 1.377551020408163407e-01
7.142857142857143501e-03, 2.653061224489796643e-01
1.071428571428571438e-02, 3.826530612244898322e-01
1.428571428571428700e-02, 4.897959183673469830e-01
1.785714285714285962e-02, 5.867346938775510612e-01
2.142857142857142877e-02, 6.734693877551020114e-01
2.500000000000000139e-02, 7.500000000000001110e-01
2.857142857142857401e-02, 8.163265306122449161e-01
3.214285714285714662e-02, 8.724489795918367596e-01
3.571428571428571924e-02, 9.183673469387757526e-01
3.928571428571429186e-02, 9.540816326530615621e-01
4.285714285714285754e-02, 9.795918367346938549e-01
4.642857142857143016e-02, 9.948979591836734082e-01
5.000000000000000278e-02, 1.000000000000000222e+00
5.357142857142857539e-02, 9.948979591836736303e-01
5.714285714285714801e-02, 9.795918367346939659e-01
6.071428571428572063e-02, 9.540816326530612290e-01
6.428571428571429325e-02, 9.183673469387754196e-01
6.785714285714286587e-02, 8.724489795918367596e-01
7.142857142857143848e-02, 8.163265306122449161e-01
7.500000000000001110e-02, 7.500000000000000000e-01
7.857142857142858372e-02, 6.734693877551021224e-01
8.214285714285715634e-02, 5.867346938775507281e-01
8.571428571428571508e-02, 4.897959183673469274e-01
8.928571428571428770e-02, 3.826530612244902207e-01
9.285714285714286031e-02, 2.653061224489793313e-01
9.642857142857143293e-02, 1.377551020408165905e-01
1.000000000000000056e-01, 0.000000000000000000e+00
